loanID,loanPerformance,loanPerformNum,loanDateOpened,appAge,appChkSv,appFinanceCo,appIncome,appMaritalStatus,appOcc,appResidence,appOrigScore,appTimeAddress,cb90Ever,cbFICO,cbInq5Mos,cbMosAvg,cbMosDlq,cbMosInq,cbPctGood,cbTimeFile,cbTimeFileYears,cbUtilizn,dealLoanToVal,dealPctDown,dealNewUsed,sampwt,target
AL120268667-07384,Delq 3+ cycles,4,2007-04-11 Wed,36,Chk & Sv,Home Equity,"3,004.00",SP,y,Sublease,198,1,0,600,4,,6,0,88,92,7,85,100,0,New,2.663,0
AL120268676-04457,Paid as agreed,7,2007-02-01 Thu,25,Chk & Sv,National,"2,883.00",LT,b,Unknown,207,2,0,732,1,2,,0,100,44,3,58,90.6,9.4,New,28.341,1
AL120268745-04364,Paid as agreed,7,2006-12-06 Wed,39,Chk & Sv,Home Equity,"5,408.00",M,g,Owns Home,209,9,3,680,10,,18,0,38,116,9,0,75.7,24.3,New,48.94,1
AL120268812-06979,Delq 3+ cycles,4,2006-11-28 Tue,34,Checking,Home Equity,"2,500.00",M,k,Owns Home,188,3,3,624,9,41,4,0,85,83,6,18,82.1,17.9,New,1.007,0
AL120268936-05424,Paid as agreed,7,2007-04-28 Sat,24,Checking,National,"1,330.00",M,u,Parents,213,24,0,647,6,2,,0,100,51,4,62,95,5,New,46.934,1
AL120268964-07459,Delq 3+ cycles,4,2006-10-21 Sat,47,Chk & Sv,Retail,"3,150.00",M,k,Owns Home,196,12,1,615,7,1,6,0,78,182,15,32,88.3,11.7,New,3.672,0
AL120268978-05504,Paid as agreed,7,2006-11-06 Mon,28,Checking,Unsecured,"1,733.00",M,p,Renting,189,2,1,586,18,,2,0,50,31,2,,86.8,13.2,New,37.209,1
AL120269251-07150,Charged-off,3,2006-12-27 Wed,19,Chk & Sv,National,"2,000.00",M,b,Owns Home,180,19,0,603,1,,,4,0,20,1,,81.4,18.6,New,1.007,0
AL120269270-08359,Charged-off,3,2006-10-08 Sun,21,Checking,Home Equity,"1,000.00",SI,w,Renting,211,21,0,726,7,,,0,100,21,1,0,79.5,20.5,Used,4.014,0
AL120269296-08368,Charged-off,3,2006-12-11 Mon,20,Chk & Sv,Retail,"1,465.00",DI,h,Renting,167,1,0,486,22,,1,0,67,24,2,87,91.2,8.8,Used,40.448,0
AL120269529-04246,Paid as agreed,7,2006-10-07 Sat,37,Checking,Home Equity,"2,963.00",M,r,Owns Home,212,4,0,692,2,,,1,100,94,7,67,85,15,New,28.341,1
AL120269622-06804,Delq 3+ cycles,4,2006-11-27 Mon,32,Chk & Sv,National,"1,150.00",DI,g,Owns Home,201,1,0,,6,,,0,100,115,9,,90.4,9.6,New,1.007,0
AL120269950-07800,Charged-off,3,2007-02-05 Mon,27,Checking,National,"1,603.00",M,b,Unknown,181,1,3,615,9,,5,1,40,84,7,59,80.8,19.2,New,2.251,0
AL120270103-04500,Paid as agreed,7,2007-02-02 Fri,34,Chk & Sv,Home Equity,"2,600.00",M,,Owns Home,205,4,1,691,1,,29,0,72,191,15,54,95.3,4.7,New,50.161,1
AL120270309-08867,Delq 3+ cycles,4,2007-02-17 Sat,29,Chk & Sv,Home Equity,"3,367.00",SI,w,Renting,200,10,0,626,6,,3,0,84,104,8,21,82.7,17.3,Used,1.252,0
AL120270553-05715,Paid as agreed,7,2007-02-05 Mon,30,Checking,National,"3,208.00",LT,y,Owns Home,209,0,0,700,1,2,,0,100,44,3,47,92.7,7.3,Used,28.341,1
AL120270656-05047,Paid as agreed,7,2007-04-06 Fri,29,Checking,Unsecured,"3,800.00",LT,f,Renting,173,0,1,571,11,4,2,0,62,103,8,87,96.4,3.6,New,25.223,1
AL120270765-05833,Paid as agreed,7,2006-11-14 Tue,25,Chk & Sv,National,"1,400.00",SI,f,Renting,186,0,0,637,4,,5,0,77,46,3,5,92.5,7.5,Used,28.341,1
AL120270857-08419,Delq 3+ cycles,4,2006-08-06 Sun,22,Chk & Sv,National,"5,325.00",DI,g,Owns Home,200,2,0,628,5,,,0,100,39,3,73,96.3,3.7,Used,2.958,0
AL120270867-06461,Paid as agreed,7,2006-10-13 Fri,30,None,National,"1,058.00",SI,b,Renting,171,1,4,536,5,42,1,0,14,47,3,89,72.5,27.5,Used,40.785,1
AL120270891-06215,Paid as agreed,7,2006-08-06 Sun,35,Checking,National,"2,600.00",DI,w,Unknown,207,0,7,636,7,2,37,0,63,110,9,50,90.1,9.9,Used,47.521,1
AL120270998-08781,Delq 3+ cycles,4,2007-04-16 Mon,42,Chk & Sv,Unsecured,"1,500.00",SI,b,Owns Home,197,4,1,639,2,,10,0,67,35,2,,65.1,34.9,Used,0.561,0
AL120271042-04087,Paid as agreed,7,2006-12-20 Wed,28,Checking,Unsecured,"5,408.00",M,g,Renting,209,3,0,650,8,,,0,100,72,6,69,78.3,21.7,New,28.341,1
AL120271056-06168,Paid as agreed,7,2006-10-19 Thu,46,Checking,National,"1,862.00",M,u,Owns Home,215,35,0,687,6,2,15,0,60,119,9,16,89,11,Used,49.578,1
AL120271484-05259,Paid as agreed,7,2006-07-01 Sat,19,Chk & Sv,National,"1,580.00",LT,f,Parents,196,17,0,,,,,,,,,,81.2,18.8,New,47.061,1
AL120271526-07536,Charged-off,3,2006-11-24 Fri,21,None,National,"1,400.00",M,y,Owns Home,178,3,0,516,13,3,2,0,86,18,1,83,89.8,10.2,New,1.007,0
AL120271707-07454,Charged-off,3,2007-06-06 Wed,,Savings,Unknown,"2,167.00",M,f,Owns Home,160,3,3,500,5,,2,0,0,88,7,,72.9,27.1,New,8.199,0
AL120271784-07586,Delq 3+ cycles,4,2006-12-28 Thu,29,Chk & Sv,National,"1,300.00",DI,s,Parents,201,5,0,669,12,,,0,100,49,4,0,100,0,New,6.866,0
AL120271871-06945,Charged-off,3,2007-01-18 Thu,88,Chk & Sv,Unsecured,"2,500.00",M,,Owns Home,169,6,0,558,4,,4,0,73,87,7,96,81,19,New,1.007,0
AL120271963-07471,Delq 3+ cycles,4,2007-01-14 Sun,20,Chk & Sv,Unsecured,867,M,s,Parents,186,0,0,604,3,,,0,100,17,1,81,92.7,7.3,New,22.838,0
AL120272034-04717,Paid as agreed,7,2007-03-17 Sat,31,Chk & Sv,National,"1,800.00",DI,r,Owns Home,229,1,0,754,1,,,0,100,81,6,15,82.8,17.2,New,28.341,1
AL120272208-08070,Charged-off,3,2007-01-19 Fri,21,Savings,Unsecured,"1,000.00",SI,y,Parents,203,3,0,638,4,2,,0,100,8,0,111,98.4,1.6,Used,14.781,0
AL120272432-07993,Delq 3+ cycles,4,2007-05-22 Tue,20,None,Unsecured,"2,240.00",SI,e,Owns Home,190,15,0,612,6,,,0,100,27,2,,84.3,15.7,Used,1.007,0
AL120272520-04419,Paid as agreed,7,2007-06-25 Mon,27,Chk & Sv,National,"3,791.00",M,p,Owns Home,237,0,0,772,2,2,,0,83,53,4,0,72,28,New,28.341,1
AL120272573-06504,Charged-off,3,2007-01-26 Fri,27,Checking,National,"1,120.00",M,y,Renting,224,1,0,735,0,26,,,100,97,8,72,93.5,6.5,New,0.422,0
AL120272601-04953,Paid as agreed,7,2006-08-09 Wed,24,Chk & Sv,Retail,"3,900.00",M,y,Owns Home,188,3,0,636,4,,,0,100,47,3,98,97.4,2.6,New,49.47,1
AL120272659-04564,Paid as agreed,7,2007-05-04 Fri,21,Chk & Sv,Unsecured,"1,480.00",M,p,Renting,197,1,0,624,5,,,0,100,22,1,62,76,24,New,28.341,1
AL120272719-06770,Charged-off,3,2007-06-27 Wed,52,Chk & Sv,Unsecured,"1,878.00",M,g,Owns Home,191,18,0,622,0,,4,,0,31,2,,91.8,8.2,New,1.007,0
AL120272796-07335,Charged-off,3,2007-01-28 Sun,34,Chk & Sv,Home Equity,"3,400.00",M,s,Owns Home,163,9,0,500,6,,2,0,73,171,14,76,96.9,3.1,New,1.007,0
AL120272945-04395,Paid as agreed,7,2006-09-20 Wed,27,None,National,"2,333.00",LT,b,Renting,225,1,0,733,2,,,0,100,40,3,0,87.3,12.7,New,28.341,1
AL120272955-06261,Paid as agreed,7,2006-07-17 Mon,50,Chk & Sv,Unsecured,"1,199.00",DI,r,Owns Home,182,10,3,596,4,2,1,0,40,123,10,100,90.2,9.8,Used,32.595,1
